ISO3,ISI,SBI,Group
PRT,0.7934720752243294,-1.8006186675234264,"High Cost Cap (Low Inst, Low Soc)"
PRY,-3.2433409503196287,2.273457171366521,"Traditional (Low Inst, High Soc)"
PSE,3.277828075947156,3.756782424950536,"Traditional (Low Inst, High Soc)"
PYF,1.1806770111215996,1.3633286613714508,"Traditional (Low Inst, High Soc)"
QAT,2.719238792222636,3.3010002560354983,"Traditional (Low Inst, High Soc)"
ROU,7.753010878094827,-3.2776175156918583,Nordic Paradox (Gradual Development)
RUS,-0.6893457471786885,-9.184238314904478,"High Cost Cap (Low Inst, Low Soc)"
RWA,-3.135638665857527,-0.5097108376042789,"High Cost Cap (Low Inst, Low Soc)"
SAU,4.550910092492715,2.263970121149251,"Ideal (High Inst, High Soc)"
SDN,-4.5167943763227,3.975952990170759,"Traditional (Low Inst, High Soc)"
SEN,-2.25540891754646,5.57958698975,"Traditional (Low Inst, High Soc)"
SGP,2.5212179740382044,0.5117072501880328,"High Cost Cap (Low Inst, Low Soc)"
SLE,-4.813888955012418,3.523595018252314,"Traditional (Low Inst, High Soc)"
SLV,-1.2094944800759977,2.346484703578588,"Traditional (Low Inst, High Soc)"
SOM,-8.95547492105312,4.233253526686378,"Traditional (Low Inst, High Soc)"
SRB,3.241918053436679,-1.3925048704649772,"High Cost Cap (Low Inst, Low Soc)"
SSD,-7.96460489158772,2.999100266413816,"Traditional (Low Inst, High Soc)"
STP,2.245059346344629,0.7842291456123054,"Traditional (Low Inst, High Soc)"
SUR,-0.7484632954398311,1.0564557177967062,"Traditional (Low Inst, High Soc)"
SVK,9.089680222544809,-1.346725929388965,Nordic Paradox (Gradual Development)
SVN,6.870528579102183,-4.556137483279173,Developmental Strain (Compressed Modernization)
SWE,4.325713159849375,0.1809701074062158,Nordic Paradox (Gradual Development)
SWZ,-8.897668410699946,-0.2173420439074411,"High Cost Cap (Low Inst, Low Soc)"
SXM,1.2800455560072164,-5.5410253400121885,"High Cost Cap (Low Inst, Low Soc)"
SYC,2.6756167871331944,0.2979731240553178,"High Cost Cap (Low Inst, Low Soc)"
SYR,-4.328891541172059,3.885531734527227,"Traditional (Low Inst, High Soc)"
TCA,-3.545464672787795,-6.712498092199648,"High Cost Cap (Low Inst, Low Soc)"
TCD,-7.253478363395276,2.4834163304030987,"Traditional (Low Inst, High Soc)"
TGO,-3.5312319290407275,2.1401087393744183,"Traditional (Low Inst, High Soc)"
THA,-1.960517529191724,0.1523890616981626,"High Cost Cap (Low Inst, Low Soc)"
TJK,2.844300365471298,4.52913150016307,"Traditional (Low Inst, High Soc)"
TKM,-3.3114948557114765,3.1513679210867105,"Traditional (Low Inst, High Soc)"
TLS,-2.758524610822826,2.9289491100602665,"Traditional (Low Inst, High Soc)"
TON,6.561698776365174,2.339416909520163,"Ideal (High Inst, High Soc)"
TTO,-5.141855572717959,0.6027661994096378,"High Cost Cap (Low Inst, Low Soc)"
TUN,3.090230438965921,2.709891866540043,"Traditional (Low Inst, High Soc)"
TUR,0.1436314236461048,2.2565070445215145,"Traditional (Low Inst, High Soc)"
TUV,5.33370680920364,3.3836062409105265,"Ideal (High Inst, High Soc)"
TWN,-2.129924528992162,-1.2085042435829687,"High Cost Cap (Low Inst, Low Soc)"
TZA,-3.923424502470114,1.9981149965016467,"Traditional (Low Inst, High Soc)"
UGA,-2.9518942751952046,0.9686015419814104,"Traditional (Low Inst, High Soc)"
UKR,7.474770888098438,-3.9661374506439775,Developmental Strain (Compressed Modernization)
URY,-4.271526281720769,-1.47902779210778,"High Cost Cap (Low Inst, Low Soc)"
USA,-2.257797472287052,-3.451417152603959,"High Cost Cap (Low Inst, Low Soc)"
UZB,2.626204058785824,3.410405243624275,"Traditional (Low Inst, High Soc)"
VEN,-7.420616098137626,2.369127935559081,"Traditional (Low Inst, High Soc)"
VNM,-0.8239182706852272,1.035197996169962,"Traditional (Low Inst, High Soc)"
VUT,5.028521214379337,2.591003510861756,"Ideal (High Inst, High Soc)"
WSM,3.99659628827461,3.577449133239482,"Ideal (High Inst, High Soc)"
YEM,-7.957677297633448,4.897651863558813,"Traditional (Low Inst, High Soc)"
ZAF,-9.799222533902771,-1.0481604921565282,"High Cost Cap (Low Inst, Low Soc)"
ZMB,-8.656627219620677,2.3547341347958186,"Traditional (Low Inst, High Soc)"
ZWE,-7.988837753443259,1.942533842657061,"Traditional (Low Inst, High Soc)"
