ISO3,Year,Urban_Population_Percent
AFG,1999,20.876
AFG,1999,28.579
AFG,1999,100.0
AFG,2000,1.78
AFG,2000,12.099
AFG,2000,14.172
AFG,2000,16.838
AFG,2000,5.166
AFG,2000,21.099
AFG,2000,28.845
AFG,2000,100.0
AFG,2001,1.693
AFG,2001,11.72
AFG,2001,13.783
AFG,2001,16.925
AFG,2001,5.068
AFG,2001,21.251
AFG,2001,29.559
AFG,2001,100.0
AFG,2002,1.612
AFG,2002,11.371
AFG,2002,13.425
AFG,2002,17.005
AFG,2002,4.978
AFG,2002,21.391
AFG,2002,30.218
AFG,2002,100.0
AFG,2003,1.538
AFG,2003,11.048
AFG,2003,13.094
AFG,2003,17.078
AFG,2003,4.895
AFG,2003,21.521
AFG,2003,30.826
AFG,2003,100.0
AFG,2004,1.469
AFG,2004,10.749
AFG,2004,12.787
AFG,2004,17.147
AFG,2004,4.817
AFG,2004,21.641
AFG,2004,31.391
AFG,2004,100.0
AFG,2005,1.405
AFG,2005,10.471
AFG,2005,12.501
AFG,2005,17.21
AFG,2005,4.745
AFG,2005,21.752
AFG,2005,31.916
AFG,2005,100.0
AFG,2006,1.353
AFG,2006,10.153
AFG,2006,12.25
AFG,2006,17.225
AFG,2006,4.676
AFG,2006,21.974
AFG,2006,32.368
AFG,2006,100.0
AFG,2007,1.303
AFG,2007,9.855
AFG,2007,12.015
AFG,2007,17.239
AFG,2007,4.612
AFG,2007,22.183
AFG,2007,32.794
AFG,2007,100.0
AFG,2008,1.257
AFG,2008,9.574
AFG,2008,11.793
AFG,2008,17.252
AFG,2008,4.551
AFG,2008,22.379
AFG,2008,33.195
AFG,2008,100.0
AFG,2009,1.214
AFG,2009,9.309
AFG,2009,11.583
AFG,2009,17.264
AFG,2009,4.493
AFG,2009,22.564
AFG,2009,33.573
AFG,2009,100.0
AFG,2010,1.172
AFG,2010,9.059
AFG,2010,11.385
AFG,2010,17.275
AFG,2010,4.439
AFG,2010,22.739
AFG,2010,33.93
AFG,2010,100.0
AFG,2011,1.12
AFG,2011,8.677
AFG,2011,11.005
AFG,2011,17.199
AFG,2011,4.409
AFG,2011,23.103
AFG,2011,34.486
AFG,2011,100.0
AFG,2012,1.072
AFG,2012,8.323
AFG,2012,10.653
AFG,2012,17.129
AFG,2012,4.381
AFG,2012,23.441
AFG,2012,35.001
AFG,2012,100.0
AFG,2013,1.027
AFG,2013,7.994
AFG,2013,10.326
AFG,2013,17.064
AFG,2013,4.356
AFG,2013,23.755
AFG,2013,35.479
AFG,2013,100.0
AFG,2014,0.985
AFG,2014,7.688
AFG,2014,10.021
AFG,2014,17.003
AFG,2014,4.332
AFG,2014,24.047
AFG,2014,35.925
AFG,2014,100.0
AFG,2015,0.946
AFG,2015,7.401
AFG,2015,9.735
AFG,2015,16.946
AFG,2015,4.309
AFG,2015,24.32
AFG,2015,36.342
AFG,2015,100.0
AFG,2016,0.911
AFG,2016,7.106
AFG,2016,9.506
AFG,2016,16.764
AFG,2016,4.233
AFG,2016,24.381
AFG,2016,37.098
AFG,2016,100.0
AFG,2017,0.878
AFG,2017,6.829
AFG,2017,9.29
AFG,2017,16.594
AFG,2017,4.162
AFG,2017,24.439
AFG,2017,37.809
AFG,2017,100.0
AFG,2018,0.847
AFG,2018,6.567
AFG,2018,9.086
AFG,2018,16.433
AFG,2018,4.094
AFG,2018,24.493
AFG,2018,38.481
AFG,2018,100.0
AFG,2019,0.817
AFG,2019,6.319
AFG,2019,8.893
AFG,2019,16.28
AFG,2019,4.031
AFG,2019,24.545
AFG,2019,39.115
AFG,2019,100.0
AFG,2020,0.79
AFG,2020,6.085
AFG,2020,8.71
AFG,2020,16.136
AFG,2020,3.97
AFG,2020,24.593
AFG,2020,39.715
AFG,2020,100.0
AFG,2021,1.06
AFG,2021,6.414
AFG,2021,8.403
AFG,2021,16.26
AFG,2021,3.926
AFG,2021,24.116
AFG,2021,39.82
AFG,2021,100.0
AFG,2022,1.318
AFG,2022,6.727
AFG,2022,8.111
AFG,2022,16.378
AFG,2022,3.884
AFG,2022,23.662
