ISO3,Gini_Index,Wealth_Top10_Share,Corruption_Control,Poverty_Rate,Child_Poverty_Rate,House_Price_to_Income,Household_Debt_to_Income,Unemployment_Rate,Edu_Pub_Exp_GDP,Health_OOP_Perc,Suicide_Rate,Family_Trust_Raw,Family_Importance_Raw,One_Person_HH_Perc,Infant_Mortality_Rate,Homicide_Rate
BMU,,60.25214285714286,1.261388778686524,,,,,,1.838260705045785,,,,,31.675000000000004,,9.27882863994042
BOL,41.9125,63.60357142857141,-0.8576537147164343,3.1375,,,,4.024,8.101727865435045,21.84745836,,,1.202323330106486,12.094444444444443,20.625,4.103644168149716
BRA,51.525000000000006,70.00142857142856,-0.5094478428363799,4.4125,35.0,,,9.638125,5.62673497200012,26.5238766675,6.452054,1.269707207207207,1.1293688054251434,7.285555555555555,12.5875,19.94766321341821
BRB,,61.876428571428576,1.2943197935819613,,,,,8.4315,3.968131214380266,43.7981624625,,,,26.34,9.5625,10.76376347102953
BRN,,57.49428571428572,1.240884721279145,,,,,5.4285,,7.015506865,,,,7.22,8.2875,
BTN,28.5,58.74,1.5350786298513426,0.0,,,,4.278875,6.298587955664198,26.49619174,,,,7.66,19.0375,2.46751324015657
BWA,,70.57000000000001,0.6678601577877998,,,,,23.109625,8.05833660991541,4.4999520775,,,,21.56714285714286,39.125,10.3546282666433
CAF,43.0,66.3042857142857,-1.2849380671977988,71.6,,,,5.998875,1.945902071364241,48.63651562,,,,8.72,98.4875,
CAN,30.5,60.07285714285714,1.648141473531724,0.2,13.5,113.21151919281472,171.16285714285718,6.17525,4.849247455596925,14.82199728625,8.784677,,1.1570176521417108,27.148000000000003,4.45,2.0687193358960174
CEB,,,,,,,,4.105791804309881,4.485504984855653,19.638980294085865,,,,,3.9274110508516,
CHE,33.775,61.84285714285714,2.013873502612114,0.125,10.2,103.69708512556664,,4.280749999999999,5.040557503700257,21.27651882,8.302254725000001,,1.1765935214211076,31.078,3.5,0.546454509307803
CHI,,,,,,,,6.3475,,,,,,,,
CHL,44.333333333333336,71.17714285714285,0.984133407473564,0.9,21.0,101.01733407746792,78.06714285714285,9.095625,5.1060575246810895,34.094246150000004,8.7075095,1.308724832214765,1.1035618078419636,10.695,6.0375,6.176238510101197
CHN,36.2,67.05714285714286,-0.0037684543058275,0.0,5.0,,,4.77375,4.00127983093262,34.0900030175,,1.151911468812877,1.2265537774469668,9.3575,4.775,0.5018560705357
